,id,eigenval,mingap
0,erdos_0.75_0_M5,3,2.975670988644808
1,erdos_0.75_1_M5,1,3.116396879068578
2,erdos_0.75_2_M5,1,3.1163968790685637
3,erdos_0.75_3_M5,1,1.733928336395337
4,erdos_0.75_4_M5,3,2.975670988644808
5,erdos_0.75_5_M5,4,3.3790002031395048
6,erdos_0.75_6_M5,4,3.379000203139487
7,erdos_0.75_7_M5,5,4.351499274085647
8,erdos_0.75_8_M5,2,2.4432376383332794
9,erdos_0.75_9_M5,2,2.4411734609528537
10,erdos_0.75_10_M5,2,2.441173460952868
11,erdos_0.75_11_M5,2,2.441173460952882
12,erdos_0.75_12_M5,1,1.733928336395337
13,erdos_0.75_13_M5,1,1.733928336395298
14,erdos_0.75_14_M5,1,1.733928336395298
15,erdos_0.75_15_M5,1,2.3362889852135034
16,erdos_0.75_16_M5,5,4.351499274085647
17,erdos_0.75_17_M5,3,2.9756709886448043
18,erdos_0.75_18_M5,5,4.351499274085647
19,erdos_0.75_19_M5,2,2.443237638333354
20,erdos_0.75_20_M5,1,1.97243455747868
21,erdos_0.75_21_M5,2,2.4411734609528857
22,erdos_0.75_22_M5,3,2.9756709886448043
23,erdos_0.75_23_M5,3,2.9580071948997855
24,erdos_0.75_24_M5,3,2.9756709886448043
25,erdos_0.75_25_M5,1,2.4012452007481215
26,erdos_0.75_26_M5,2,2.4411734609528857
27,erdos_0.75_27_M5,3,3.03009038251108
28,erdos_0.75_28_M5,1,1.733928336395305
29,erdos_0.75_29_M5,2,2.441173460952861
30,erdos_0.75_30_M5,1,1.7339283363953122
31,erdos_0.75_31_M5,1,1.733928336395337
32,erdos_0.75_32_M5,2,2.441173460952836
33,erdos_0.75_33_M5,3,2.9756709886447865
34,erdos_0.75_34_M5,4,3.3790002031395368
35,erdos_0.75_35_M5,1,1.9724345574786533
36,erdos_0.75_36_M5,5,3.633177344391985
37,erdos_0.75_37_M5,2,2.443237638333258
38,erdos_0.75_38_M5,5,4.351499274085647
39,erdos_0.75_39_M5,1,1.733928336395305
40,erdos_0.75_40_M5,3,2.9580071948998103
41,erdos_0.75_41_M5,1,1.733928336395298
42,erdos_0.75_42_M5,1,1.7339283363953228
43,erdos_0.75_43_M5,1,1.7339283363953122
44,erdos_0.75_44_M5,1,1.7339283363953086
45,erdos_0.75_45_M5,5,4.351499274085647
46,erdos_0.75_46_M5,3,3.0300903825110517
47,erdos_0.75_47_M5,5,4.351499274085647
48,erdos_0.75_48_M5,1,2.401245200748118
49,erdos_0.75_49_M5,1,1.733928336395298
50,erdos_0.75_50_M5,1,1.7339283363953122
51,erdos_0.75_51_M5,3,2.9580071948998032
52,erdos_0.75_52_M5,1,2.4012452007481215
53,erdos_0.75_53_M5,3,2.9580071948998103
54,erdos_0.75_54_M5,3,3.0300903825110375
55,erdos_0.75_55_M5,3,3.0300903825110694
56,erdos_0.75_56_M5,3,2.958007194899807
57,erdos_0.75_57_M5,1,3.1163968790685317
58,erdos_0.75_58_M5,3,2.9580071948998032
59,erdos_0.75_59_M5,4,3.3859036105612113
60,erdos_0.75_60_M5,4,3.3859036105612397
61,erdos_0.75_61_M5,1,1.7339283363953086
62,erdos_0.75_62_M5,1,2.4012452007481393
63,erdos_0.75_63_M5,1,1.7339283363953086
64,erdos_0.75_64_M5,4,3.3790002031395012
65,erdos_0.75_65_M5,2,2.4432376383332937
66,erdos_0.75_66_M5,2,2.4432376383332652
67,erdos_0.75_67_M5,1,2.4012452007481215
68,erdos_0.75_68_M5,1,3.116396879068599
69,erdos_0.75_69_M5,1,2.401245200748093
70,erdos_0.75_70_M5,2,2.441173460952811
71,erdos_0.75_71_M5,3,3.0300903825110623
72,erdos_0.75_72_M5,2,2.441173460952882
73,erdos_0.75_73_M5,5,4.351499274085647
74,erdos_0.75_74_M5,3,2.958007194899867
75,erdos_0.75_75_M5,2,2.441173460952836
76,erdos_0.75_76_M5,2,2.4411734609528395
77,erdos_0.75_77_M5,2,2.441173460952818
78,erdos_0.75_78_M5,3,2.975670988644783
79,erdos_0.75_79_M5,1,1.7339283363953122
80,erdos_0.75_80_M5,3,2.9580071948998032
81,erdos_0.75_81_M5,3,2.975670988644776
82,erdos_0.75_82_M5,4,3.379000203139512
83,erdos_0.75_83_M5,2,2.4411734609528395
84,erdos_0.75_84_M5,2,2.4411734609528715
85,erdos_0.75_85_M5,3,3.0300903825110623
86,erdos_0.75_86_M5,4,3.379000203139519
87,erdos_0.75_87_M5,1,1.7339283363953086
88,erdos_0.75_88_M5,3,2.975670988644765
89,erdos_0.75_89_M5,3,2.975670988644797
90,erdos_0.75_90_M5,2,2.441173460952882
91,erdos_0.75_91_M5,3,2.975670988644758
92,erdos_0.75_92_M5,1,3.1163968790685637
93,erdos_0.75_93_M5,1,1.7339283363953193
94,erdos_0.75_94_M5,3,2.95800719489986
95,erdos_0.75_95_M5,3,2.9756709886447723
96,erdos_0.75_96_M5,3,2.9756709886447936
97,erdos_0.75_97_M5,1,2.3362889852134803
98,erdos_0.75_98_M5,1,1.7339283363952411
99,erdos_0.75_99_M5,2,2.4432376383332652
