,id,eigenval,mingap
0,erdos_0.75_0_M2,3,2.843876022602638
1,erdos_0.75_1_M2,1,2.7104902663781587
2,erdos_0.75_2_M2,1,2.7104902663781214
3,erdos_0.75_3_M2,1,1.549564441014935
4,erdos_0.75_4_M2,3,2.8438760226026725
5,erdos_0.75_5_M2,4,3.330203765513456
6,erdos_0.75_6_M2,4,3.3302037655134376
7,erdos_0.75_7_M2,5,4.293627142448235
8,erdos_0.75_8_M2,2,2.248889331578958
9,erdos_0.75_9_M2,2,2.2345904586145497
10,erdos_0.75_10_M2,2,2.234590458614564
11,erdos_0.75_11_M2,2,2.2345904586145497
12,erdos_0.75_12_M2,1,1.549564441014935
13,erdos_0.75_13_M2,1,1.5495644410149136
14,erdos_0.75_14_M2,1,1.5495644410149136
15,erdos_0.75_15_M2,1,2.146897852492571
16,erdos_0.75_16_M2,5,4.293627142448235
17,erdos_0.75_17_M2,3,2.84387602260267
18,erdos_0.75_18_M2,5,4.293627142448235
19,erdos_0.75_19_M2,2,2.2488893315789564
20,erdos_0.75_20_M2,1,1.7213503180231875
21,erdos_0.75_21_M2,2,2.234590458614562
22,erdos_0.75_22_M2,3,2.843876022602637
23,erdos_0.75_23_M2,3,2.824865952510671
24,erdos_0.75_24_M2,3,2.8438760226026503
25,erdos_0.75_25_M2,1,2.1555526450986466
26,erdos_0.75_26_M2,2,2.234590458614562
27,erdos_0.75_27_M2,3,2.929390525188392
28,erdos_0.75_28_M2,1,1.5495644410149474
29,erdos_0.75_29_M2,2,2.234590458614546
30,erdos_0.75_30_M2,1,1.5495644410149225
31,erdos_0.75_31_M2,1,1.549564441014935
32,erdos_0.75_32_M2,2,2.234590458614539
33,erdos_0.75_33_M2,3,2.8438760226026423
34,erdos_0.75_34_M2,4,3.3302037655134606
35,erdos_0.75_35_M2,1,1.7213503180231653
36,erdos_0.75_36_M2,5,3.6126615382460976
37,erdos_0.75_37_M2,2,2.248889331578928
38,erdos_0.75_38_M2,5,4.293627142448235
39,erdos_0.75_39_M2,1,1.5495644410149474
40,erdos_0.75_40_M2,3,2.8248659525106703
41,erdos_0.75_41_M2,1,1.5495644410149136
42,erdos_0.75_42_M2,1,1.5495644410149207
43,erdos_0.75_43_M2,1,1.549564441014942
44,erdos_0.75_44_M2,1,1.5495644410149403
45,erdos_0.75_45_M2,5,4.293627142448235
46,erdos_0.75_46_M2,3,2.9293905251883805
47,erdos_0.75_47_M2,5,4.293627142448235
48,erdos_0.75_48_M2,1,2.1555526450986573
49,erdos_0.75_49_M2,1,1.5495644410149136
50,erdos_0.75_50_M2,1,1.549564441014942
51,erdos_0.75_51_M2,3,2.8248659525106747
52,erdos_0.75_52_M2,1,2.155552645098659
53,erdos_0.75_53_M2,3,2.8248659525106703
54,erdos_0.75_54_M2,3,2.929390525188378
55,erdos_0.75_55_M2,3,2.929390525188416
56,erdos_0.75_56_M2,3,2.8248659525106605
57,erdos_0.75_57_M2,1,2.7104902663781054
58,erdos_0.75_58_M2,3,2.82486595251068
59,erdos_0.75_59_M2,4,3.379583022296127
60,erdos_0.75_60_M2,4,3.3795830222961314
61,erdos_0.75_61_M2,1,1.5495644410149403
62,erdos_0.75_62_M2,1,2.155552645098645
63,erdos_0.75_63_M2,1,1.5495644410149403
64,erdos_0.75_64_M2,4,3.3302037655134455
65,erdos_0.75_65_M2,2,2.2488893315789458
66,erdos_0.75_66_M2,2,2.248889331578928
67,erdos_0.75_67_M2,1,2.1555526450986466
68,erdos_0.75_68_M2,1,2.710490266378116
69,erdos_0.75_69_M2,1,2.1555526450986733
70,erdos_0.75_70_M2,2,2.2345904586145426
71,erdos_0.75_71_M2,3,2.9293905251883903
72,erdos_0.75_72_M2,2,2.2345904586145497
73,erdos_0.75_73_M2,5,4.293627142448235
74,erdos_0.75_74_M2,3,2.824865952510666
75,erdos_0.75_75_M2,2,2.234590458614539
76,erdos_0.75_76_M2,2,2.234590458614548
77,erdos_0.75_77_M2,2,2.234590458614548
78,erdos_0.75_78_M2,3,2.8438760226026476
79,erdos_0.75_79_M2,1,1.5495644410149225
80,erdos_0.75_80_M2,3,2.82486595251068
81,erdos_0.75_81_M2,3,2.8438760226026387
82,erdos_0.75_82_M2,4,3.3302037655134447
83,erdos_0.75_83_M2,2,2.2345904586145355
84,erdos_0.75_84_M2,2,2.234590458614532
85,erdos_0.75_85_M2,3,2.9293905251883876
86,erdos_0.75_86_M2,4,3.330203765513457
87,erdos_0.75_87_M2,1,1.5495644410149403
88,erdos_0.75_88_M2,3,2.843876022602643
89,erdos_0.75_89_M2,3,2.843876022602621
90,erdos_0.75_90_M2,2,2.234590458614555
91,erdos_0.75_91_M2,3,2.843876022602662
92,erdos_0.75_92_M2,1,2.710490266378134
93,erdos_0.75_93_M2,1,1.5495644410149065
94,erdos_0.75_94_M2,3,2.824865952510663
95,erdos_0.75_95_M2,3,2.8438760226026396
96,erdos_0.75_96_M2,3,2.8438760226026556
97,erdos_0.75_97_M2,1,2.1468978524925832
98,erdos_0.75_98_M2,1,1.5495644410149456
99,erdos_0.75_99_M2,2,2.2488893315789635
